metric,estimand,definition,unit,comparable_across_geo_level,comparable_across_tier,differencing_note,comparable_across_estimand
female_share_pct,pw_raw,"Sum of female participants divided by sum of female+male participants across a geography's trials. COMPARABILITY CORRECTED IN THIS RUN: run011 marked this TRUE across geo levels while marking n_trials FALSE for the reason that the country and state spines have different filter chains. Both cannot be right. The country spine is single-country trials from countries.txt; the state spine is single-state trials from facilities.txt; the two overlap and neither nests inside the other, so a country share and a state share are computed on different, non-nested trial sets.",percent,FALSE,FALSE,"Differencing against tw_median is invalid: one weights by participants, the other by trials.",FALSE
female_share_pct,tw_median,"Median across trials of each trial's own female share. NOT comparable across geo levels, for the same reason as pw_raw: the country spine and the state spine are different, non-nested trial sets drawn from different registry tables.",percent,FALSE,FALSE,Differencing against pw_raw is invalid; a large trial moves one and not the other.,FALSE
female_share_pct,std_gcomp,"Participant-weighted marginal standardization: predict every trial in the pooled sample as if it belonged to this geography, then average.",percent,FALSE,FALSE,Difference against pw_raw is the case-mix contribution; that is delta_from_raw_pp and is the only defensible difference here.,FALSE
female_share_pct,std_modal,"Predicted female share at one global modal covariate cell. Sensitivity only: often unsupported, and a whole-set level shift is a property of the reference cell.",percent,FALSE,FALSE,"Do not difference against std_gcomp; they are different reference distributions, not a decomposition.",FALSE
n_trials,not_applicable,Trials contributing to the geography after the full filter chain in the consort ladder.,count,FALSE,FALSE,Country and state spines have different filter chains; do not subtract one from the other.,FALSE
n_participants,not_applicable,"Participants in those trials, female+male under the narrow title set and units gate.",count,FALSE,FALSE,Tier 1 and tier 3 participant counts overlap by construction; never sum them.,FALSE
iqr_width_pp,tw_median,"Interquartile width of trial-level female shares within the geography. NOT comparable across geo levels: it is a dispersion of trial-level shares WITHIN a geography, so it inherits the spine incomparability exactly as the shares do. The country spine is single-country trials from countries.txt and the state spine is single-state trials from facilities.txt; the two overlap and neither nests inside the other, so a country IQR and a state IQR are computed over different, non-nested trial sets.",percentage points,FALSE,FALSE,"A spread, not a level; do not compare against any share.",FALSE
no_value_gate_failed,not_applicable,A geography that exists in the registry and fails the trial-count gate. Carries no value under any estimand; gate_reason says why. Present so the app can distinguish a failing geography from an absent one.,none,FALSE,FALSE,Carries no value. Never substitute another estimand for it.,FALSE
pct_single_sex_reported,not_applicable,"Share of sex-unrestricted trials reporting only one sex. EXPLICIT reporting of one sex, not a missing measure: trials with no sex measure are excluded upstream and counted in the consort ladder. NOT comparable across geo levels, corrected in this run: it is a share OF the geography's own trials, and the two geo levels do not have the same trials. The denominator differs by construction, which is the same reason every share on this table is FALSE. Both were left TRUE by oversight while the shares were corrected.",percent,FALSE,FALSE,Not comparable with any composition share.,FALSE
portfolio_female_share_pct,pw_raw,TIER 3. Sex composition of the multinational trial portfolio a geography participates in. Contains NO within-trial between-country signal by construction.,percent,FALSE,FALSE,Never differenced against or plotted on the same scale as any tier 1 metric.,FALSE
